Company,Symbol,Price,Dividend
Microsoft Corporation,MSFT,183.25,0
Apple Inc.,AAPL,320.04,0
Amazon.com Inc.,AMZN, 2,0
Facebook Inc. Class A,FB,214.51,0
Alphabet Inc. Class A,GOOGL, 1,0
Alphabet Inc. Class C,GOOG, 1,0
Berkshire Hathaway Inc. Class B,BRK.B,228.13,0
JPMorgan Chase & Co.,JPM,137.14,0
Johnson & Johnson,JNJ,148.24,0
Visa Inc. Class A,V,210.40,0
Procter & Gamble Company,PG,126.17,0
Mastercard Incorporated Class A,MA,342.64,0
Intel Corporation,INTC,65.03,0
UnitedHealth Group Incorporated,UNH,300.89,0
Bank of America Corp,BAC,34.74,0
AT&T Inc.,T,38.62,0
Home Depot Inc.,HD,245.40,0
Exxon Mobil Corporation,XOM,59.78,0
Walt Disney Company,DIS,139.72,0
Verizon Communications Inc.,VZ,58.07,0
Coca-Cola Company,KO,59.37,0
Chevron Corporation,CVX,110.12,0
Merck & Co. Inc.,MRK,81.87,0
Comcast Corporation Class A,CMCSA,45.63,0
PepsiCo Inc.,PEP,144.48,0
Pfizer Inc.,PFE,35.91,0
Cisco Systems Inc.,CSCO,46.46,0
NVIDIA Corporation,NVDA,306.57,0
Adobe Inc.,ADBE,377.70,0
Wells Fargo & Company,WFC,47.00,0
Boeing Company,BA,338.28,0
salesforce.com inc.,CRM,192.59,0
Citigroup Inc.,C,77.92,0
Netflix Inc.,NFLX,382.31,0
Walmart Inc.,WMT,117.60,0
McDonald's Corporation,MCD,213.87,0
Abbott Laboratories,ABT,88.30,0
Bristol-Myers Squibb Company,BMY,65.17,0
Medtronic Plc,MDT,113.68,0
PayPal Holdings Inc,PYPL,121.19,0
Costco Wholesale Corporation,COST,322.19,0
AbbVie Inc.,ABBV,93.54,0
Accenture Plc Class A,ACN,213.42,0
Philip Morris International Inc.,PM,87.04,0
Thermo Fisher Scientific Inc.,TMO,335.25,0
NextEra Energy Inc.,NEE,275.02,0
International Business Machines Corporation,IBM,151.14,0
Amgen Inc.,AMGN,220.39,0
Honeywell International Inc.,HON,179.78,0
NIKE Inc. Class B,NKE,101.67,0
Union Pacific Corporation,UNP,182.68,0
Broadcom Inc.,AVGO,308.15,0
Texas Instruments Incorporated,TXN,131.15,0
United Technologies Corporation,UTX,149.24,0
Oracle Corporation,ORCL,55.28,0
Linde plc,LIN,219.78,0
Eli Lilly and Company,LLY,141.95,0
General Electric Company,GE,12.50,0
American Tower Corporation,AMT,246.70,0
Lockheed Martin Corporation,LMT,425.54,0
Starbucks Corporation,SBUX,88.31,0
Danaher Corporation,DHR,159.16,0
QUALCOMM Incorporated,QCOM,89.19,0
Fidelity National Information Services Inc.,FIS,155.51,0
Lowe's Companies Inc.,LOW,125.78,0
CVS Health Corporation,CVS,71.39,0
American Express Company,AXP,136.03,0
3M Company,MMM,159.18,0
Mondelez International Inc. Class A,MDLZ,58.67,0
Charter Communications Inc. Class A,CHTR,535.80,0
Gilead Sciences Inc.,GILD,66.77,0
Altria Group Inc,MO,45.43,0
Cigna Corporation,CI,220.21,0
Booking Holdings Inc.,BKNG, 1,0
Intuit Inc.,INTU,300.66,0
Automatic Data Processing Inc.,ADP,179.89,0
U.S. Bancorp,USB,54.83,0
TJX Companies Inc,TJX,63.68,0
Anthem Inc.,ANTM,295.00,0
S&P Global Inc.,SPGI,302.30,0
Caterpillar Inc.,CAT,137.39,0
Goldman Sachs Group Inc.,GS,232.08,0
United Parcel Service Inc. Class B,UPS,106.21,0
Chubb Limited,CB,163.17,0
CME Group Inc. Class A,CME,208.16,0
Duke Energy Corporation,DUK,101.25,0
Truist Financial Corporation,TFC,55.08,0
Stryker Corporation,SYK,223.47,0
Dominion Energy Inc,D,88.70,0
Prologis Inc.,PLD,98.14,0
Southern Company,SO,69.25,0
Intuitive Surgical Inc.,ISRG,612.13,0
Fiserv Inc.,FISV,121.01,0
Morgan Stanley,MS,54.04,0
Becton Dickinson and Company,BDX,253.71,0
Advanced Micro Devices Inc.,AMD,57.16,0
Crown Castle International Corp,CCI,167.05,0
Zoetis Inc. Class A,ZTS,143.15,0
BlackRock Inc.,BLK,567.06,0
ServiceNow Inc.,NOW,350.87,0
PNC Financial Services Group Inc.,PNC,153.83,0
Micron Technology Inc.,MU,58.85,0
Allergan plc,AGN,198.18,0
ConocoPhillips,COP,58.81,0
Colgate-Palmolive Company,CL,74.71,0
Vertex Pharmaceuticals Incorporated,VRTX,244.71,0
CSX Corporation,CSX,80.28,0
Applied Materials Inc.,AMAT,66.07,0
Global Payments Inc.,GPN,206.33,0
