#,Company,Symbol,Weight,Price,Chg,% Chg,Dividend
1,Microsoft Corporation,MSFT,5.09171,   183.25,-4.03,(-2.15%),0
2,Apple Inc.,AAPL,4.81704,   320.04,-3.58,(-1.11%),0
3,Amazon.com Inc.,AMZN,3.221075,"   2,147.00",-23.22,(-1.07%),0
4,Facebook Inc. Class A,FB,1.865246,   214.51,-2.98,(-1.37%),0
5,Alphabet Inc. Class A,GOOGL,1.628283,"   1,510.77",-14.1,(-0.92%),0
6,Alphabet Inc. Class C,GOOG,1.626227,"   1,512.44",-14.25,(-0.93%),0
7,Berkshire Hathaway Inc. Class B,BRK.B,1.598025,   228.13,-1.11,(-0.48%),0
8,JPMorgan Chase & Co.,JPM,1.536847,   137.14,-0.35,(-0.25%),0
9,Johnson & Johnson,JNJ,1.396979,   148.24,-0.7,(-0.47%),0
10,Visa Inc. Class A,V,1.301327,   210.40,-2.91,(-1.36%),0
11,Procter & Gamble Company,PG,1.115407,   126.17,0.73,-0.58%,0
12,Mastercard Incorporated Class A,MA,1.090768,   342.64,-1.93,(-0.56%),0
13,Intel Corporation,INTC,1.040321,   65.03,-2.08,(-3.10%),0
14,UnitedHealth Group Incorporated,UNH,1.030789,   300.89,-4.42,(-1.45%),0
15,Bank of America Corp,BAC,1.001657,   34.74,0.02,-0.06%,0
16,AT&T Inc.,T,1.000677,   38.62,0.18,-0.46%,0
17,Home Depot Inc.,HD,0.947159,   245.40,1.76,-0.72%,0
18,Exxon Mobil Corporation,XOM,0.910586,   59.78,-0.56,(-0.93%),0
19,Walt Disney Company,DIS,0.908372,   139.72,-1.58,(-1.12%),0
20,Verizon Communications Inc.,VZ,0.85881,   58.07,-0.15,(-0.26%),0
21,Coca-Cola Company,KO,0.822024,   59.37,-0.4,(-0.67%),0
22,Chevron Corporation,CVX,0.74624,   110.12,-0.62,(-0.56%),0
23,Merck & Co. Inc.,MRK,0.744617,   81.87,-0.13,(-0.16%),0
24,Comcast Corporation Class A,CMCSA,0.744351,   45.63,-0.34,(-0.74%),0
25,PepsiCo Inc.,PEP,0.723284,   144.48,-1.05,(-0.72%),0
26,Pfizer Inc.,PFE,0.715118,   35.91,-0.33,(-0.90%),0
27,Cisco Systems Inc.,CSCO,0.700406,   46.46,0.17,-0.36%,0
